value,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,8
85,0
86,0
87,12
88,0
89,0
90,24
91,28
92,0
93,16
94,36
95,8
96,53
97,60
98,56
99,25
100,60
101,61
102,56
103,105
104,92
105,101
106,111
107,62
108,125
109,114
110,127
111,121
112,104
113,167
114,146
115,153
116,155
117,134
118,66
119,86
120,139
121,169
122,187
123,85
124,131
125,154
126,101
127,140
128,173
129,149
130,140
131,201
132,97
133,95
134,178
135,192
136,157
137,158
138,184
139,213
140,109
141,140
142,136
143,184
144,195
145,173
146,192
147,220
148,144
149,186
150,146
151,130
152,153
153,57
154,162
155,88
156,88
157,90
158,124
159,64
160,45
161,122
162,76
163,93
164,34
165,48
166,72
167,48
168,58
169,42
170,12
171,100
172,60
173,28
174,49
175,85
176,0
177,60
178,71
179,16
180,64
181,0
182,56
183,44
184,56
185,32
186,48
187,16
188,28
189,32
190,12
191,16
192,44
193,12
194,16
195,16
196,56
197,16
198,12
199,16
200,12
201,24
202,0
203,0
204,40
205,32
206,12
207,16
208,16
209,0
210,16
211,16
212,16
213,44
214,12
215,9
216,16
217,0
218,28
219,0
220,0
221,32
222,32
223,0
224,0
225,16
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
