value,count
0,2
1,0
2,3
3,2
4,2
5,0
6,0
7,3
8,2
9,3
10,1
11,2
12,4
13,4
14,2
15,1
16,2
17,2
18,0
19,2
20,1
21,1
22,3
23,2
24,0
25,2
26,2
27,4
28,6
29,1
30,4
31,4
32,2
33,1
34,2
35,2
36,2
37,1
38,1
39,1
40,3
41,1
42,1
43,3
44,3
45,5
46,1
47,1
48,0
49,2
50,3
51,4
52,1
53,1
54,2
55,3
56,5
57,1
58,3
59,1
60,4
61,2
62,1
63,2
64,2
65,3
66,3
67,2
68,3
69,3
70,4
71,3
72,2
73,2
74,0
75,1
76,1
77,2
78,3
79,1
80,2
81,3
82,1
83,1
84,2
85,4
86,0
87,3
88,1
89,1
90,4
91,4
92,6
93,3
94,8
95,2
96,0
97,5
98,3
99,6
100,4
101,3
102,2
103,7
104,3
105,4
106,7
107,6
108,6
109,7
110,6
111,7
112,7
113,7
114,7
115,6
116,5
117,9
118,5
119,6
120,8
121,10
122,12
123,10
124,10
125,14
126,11
127,12
128,10
129,9
130,11
131,17
132,6
133,19
134,24
135,14
136,12
137,24
138,15
139,17
140,21
141,22
142,15
143,16
144,23
145,23
146,26
147,21
148,23
149,33
150,29
151,30
152,29
153,28
154,31
155,39
156,30
157,26
158,37
159,33
160,37
161,36
162,38
163,45
164,26
165,27
166,37
167,34
168,46
169,33
170,40
171,31
172,35
173,44
174,37
175,43
176,44
177,34
178,43
179,29
180,24
181,42
182,44
183,36
184,40
185,38
186,46
187,41
188,39
189,31
190,41
191,30
192,58
193,37
194,26
195,35
196,22
197,27
198,37
199,38
200,28
201,20
202,24
203,27
204,22
205,23
206,19
207,22
208,19
209,18
210,14
211,20
212,13
213,17
214,16
215,13
216,10
217,5
218,14
219,8
220,6
221,5
222,5
223,7
224,4
225,3
226,4
227,3
228,5
229,4
230,2
231,2
232,1
233,0
234,1
235,1
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
