value,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,9
69,0
70,0
71,0
72,4
73,8
74,32
75,0
76,0
77,3
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,12
87,0
88,0
89,0
90,9
91,0
92,0
93,4
94,0
95,28
96,2
97,10
98,1
99,18
100,1
101,0
102,0
103,0
104,11
105,22
106,14
107,7
108,0
109,1
110,26
111,17
112,4
113,12
114,2
115,26
116,14
117,14
118,15
119,22
120,25
121,4
122,0
123,27
124,65
125,2
126,12
127,44
128,15
129,0
130,16
131,45
132,0
133,16
134,25
135,51
136,14
137,52
138,48
139,41
140,9
141,32
142,70
143,12
144,43
145,16
146,37
147,28
148,80
149,72
150,41
151,13
152,17
153,28
154,44
155,88
156,44
157,53
158,48
159,88
160,76
161,36
162,78
163,44
164,72
165,76
166,43
167,32
168,44
169,116
170,64
171,77
172,57
173,110
174,120
175,88
176,85
177,43
178,25
179,133
180,72
181,116
182,40
183,133
184,100
185,56
186,72
187,60
188,80
189,64
190,213
191,44
192,112
193,148
194,124
195,80
196,113
197,120
198,92
199,120
200,66
201,76
202,24
203,116
204,40
205,44
206,24
207,0
208,16
209,16
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
