value,count
0,0
1,0
2,0
3,0
4,0
5,2
6,2
7,0
8,1
9,0
10,4
11,0
12,4
13,0
14,1
15,3
16,2
17,4
18,3
19,5
20,3
21,3
22,2
23,2
24,11
25,4
26,6
27,4
28,2
29,6
30,7
31,4
32,11
33,8
34,5
35,10
36,9
37,10
38,14
39,20
40,9
41,8
42,13
43,15
44,19
45,18
46,22
47,21
48,18
49,15
50,22
51,18
52,26
53,20
54,37
55,44
56,34
57,16
58,33
59,34
60,35
61,37
62,39
63,42
64,43
65,54
66,47
67,28
68,40
69,65
70,59
71,64
72,51
73,48
74,58
75,60
76,58
77,72
78,60
79,57
80,59
81,67
82,65
83,72
84,61
85,87
86,89
87,83
88,81
89,67
90,88
91,82
92,88
93,83
94,96
95,89
96,90
97,83
98,96
99,94
100,91
101,96
102,81
103,95
104,115
105,102
106,93
107,68
108,94
109,86
110,99
111,80
112,85
113,84
114,98
115,114
116,61
117,72
118,80
119,75
120,80
121,86
122,81
123,73
124,74
125,74
126,64
127,72
128,77
129,74
130,76
131,78
132,75
133,75
134,59
135,56
136,74
137,52
138,55
139,65
140,47
141,49
142,47
143,48
144,47
145,47
146,45
147,50
148,34
149,44
150,31
151,43
152,22
153,38
154,32
155,35
156,33
157,31
158,29
159,27
160,31
161,24
162,23
163,23
164,20
165,27
166,17
167,17
168,16
169,15
170,14
171,21
172,18
173,11
174,8
175,11
176,5
177,8
178,11
179,9
180,16
181,9
182,14
183,12
184,12
185,3
186,12
187,6
188,4
189,2
190,9
191,10
192,3
193,1
194,3
195,1
196,3
197,4
198,1
199,4
200,1
201,1
202,3
203,3
204,0
205,4
206,1
207,3
208,1
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,1
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,1
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
