value,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,2
21,1
22,0
23,0
24,0
25,1
26,1
27,4
28,2
29,3
30,0
31,1
32,6
33,6
34,7
35,6
36,11
37,6
38,11
39,5
40,4
41,4
42,8
43,7
44,8
45,9
46,14
47,10
48,8
49,10
50,17
51,14
52,10
53,23
54,22
55,23
56,22
57,13
58,23
59,26
60,25
61,24
62,25
63,24
64,17
65,16
66,14
67,30
68,24
69,27
70,21
71,21
72,31
73,34
74,30
75,35
76,29
77,30
78,40
79,32
80,32
81,34
82,37
83,33
84,40
85,35
86,43
87,37
88,46
89,38
90,42
91,38
92,34
93,27
94,30
95,33
96,31
97,31
98,31
99,23
100,19
101,27
102,22
103,26
104,27
105,26
106,26
107,26
108,23
109,25
110,29
111,26
112,34
113,28
114,33
115,18
116,27
117,18
118,31
119,32
120,31
121,39
122,22
123,26
124,19
125,33
126,24
127,29
128,16
129,24
130,33
131,16
132,29
133,27
134,30
135,20
136,33
137,27
138,22
139,23
140,18
141,30
142,26
143,36
144,32
145,19
146,28
147,28
148,32
149,21
150,19
151,24
152,21
153,20
154,26
155,21
156,24
157,25
158,13
159,17
160,18
161,7
162,15
163,10
164,12
165,13
166,7
167,8
168,3
169,4
170,3
171,3
172,4
173,2
174,2
175,0
176,0
177,1
178,1
179,1
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
